CustomerID,Recency,Frequency,Monetary
12346,263,1,77183
12747,4,9,3444
12748,1,144,20082
12749,68,3,2755
12820,12,2,388
12821,152,1,92
12822,8,2,948
12823,12,5,1759
12826,9,5,1052
12828,3,4,661
12829,274,2,293
12830,29,5,6414
12831,200,1,215
12832,36,1,267
12833,83,1,417
12834,220,1,312
12836,75,3,2112
12837,111,1,134
12838,311,1,390
12839,9,10,3376
12840,81,4,2726
12841,3,19,3268
12842,8,2,1119
12843,3,8,1702
12844,68,1,174
12845,205,4,354
12849,206,1,704
12851,34,1,135
12852,232,1,311
12853,72,6,1957
12854,16,3,1324
12855,310,1,38
12856,1,1,393
12857,148,2,1106
12864,76,1,147
12867,34,6,3025
12868,123,6,1607
12871,22,2,380
12872,264,2,600
12873,220,1,374
12875,81,2,343
12877,16,10,1160
12878,174,2,855
12879,19,2,507
12881,213,1,298
12883,27,1,291
12884,26,1,309
12885,1,3,1175
12886,5,2,1378
12888,152,2,354
12891,123,3,331
12895,24,1,267
12897,142,2,216
12901,19,20,13159
12902,202,1,138
12904,110,1,244
12906,16,2,1936
12908,114,2,750
12909,25,4,1857
12910,2,6,2616
12913,220,3,866
12915,86,2,363
12916,76,4,3006
12917,66,1,594
12919,54,3,441
12921,22,27,11396
12922,99,1,405
12923,2,1,177
12924,26,4,933
12925,12,1,368
12928,85,3,1136
12929,249,1,117
12930,16,2,415
12931,5,12,34440
12933,109,2,357
12935,47,4,1535
12936,16,1,798
12937,9,3,826
12939,2,8,11581
12940,25,1,361
12942,69,3,683
12944,292,1,287
12945,226,1,463
12947,81,6,1604
12948,43,4,1424
12949,52,7,3449
12951,111,5,751
12952,16,1,731
12955,30,6,1843
12956,244,1,108
12957,9,6,2640
12962,51,1,170
12963,22,2,619
12965,27,1,771
12967,296,2,1660
12968,50,1,136
12970,260,2,23
12971,3,69,8988
12974,135,1,144
12976,149,1,738
12977,94,1,39
12980,95,9,7374
12981,71,1,187
12982,180,1,390
12987,11,2,558
12988,230,1,535
12989,4,11,5957
12990,123,2,263
12991,50,1,303
12993,58,3,372
12994,58,2,645
12995,23,1,211
12997,26,3,916
12999,134,3,455
13000,44,3,534
13001,96,11,8615
