CustomerID,Recency,Frequency,Monetary,y_HighValueChurn
12346,263,1,77183,1
12747,4,9,3444,0
12748,1,144,20082,0
12749,68,3,2755,0
12820,12,2,388,0
12821,152,1,92,0
12822,8,2,948,1
12823,12,5,1759,1
12826,9,5,1052,0
12828,3,4,661,0
12829,274,2,293,0
12830,29,5,6414,0
12831,200,1,215,0
12832,36,1,267,0
12833,83,1,417,1
12834,220,1,312,0
12836,75,3,2112,0
12837,111,1,134,0
12838,311,1,390,0
12839,9,10,3376,0
12840,81,4,2726,1
12841,3,19,3268,0
12842,8,2,1119,1
12843,3,8,1702,1
12844,68,1,174,0
12845,205,4,354,1
12849,206,1,704,0
12851,34,1,135,0
12852,232,1,311,0
12853,72,6,1957,1
12854,16,3,1324,1
12855,310,1,38,0
12856,1,1,393,0
12857,148,2,1106,1
12864,76,1,147,0
12867,34,6,3025,0
12868,123,6,1607,1
12871,22,2,380,1
12872,264,2,600,1
12873,220,1,374,1
12875,81,2,343,1
12877,16,10,1160,0
12878,174,2,855,1
12879,19,2,507,0
12881,213,1,298,0
12883,27,1,291,0
12884,26,1,309,0
12885,1,3,1175,1
12886,5,2,1378,1
12888,152,2,354,1
12891,123,3,331,0
12895,24,1,267,0
12897,142,2,216,0
12901,19,20,13159,0
12902,202,1,138,0
12904,110,1,244,0
12906,16,2,1936,0
12908,114,2,750,1
12909,25,4,1857,0
12910,2,6,2616,0
12913,220,3,866,0
12915,86,2,363,1
12916,76,4,3006,1
12917,66,1,594,1
12919,54,3,441,0
12921,22,27,11396,0
12922,99,1,405,1
12923,2,1,177,0
12924,26,4,933,1
12925,12,1,368,0
12928,85,3,1136,0
12929,249,1,117,0
12930,16,2,415,1
12931,5,12,34440,0
12933,109,2,357,0
12935,47,4,1535,0
12936,16,1,798,0
12937,9,3,826,0
12939,2,8,11581,1
12940,25,1,361,0
12942,69,3,683,1
12944,292,1,287,0
12945,226,1,463,1
12947,81,6,1604,1
12948,43,4,1424,0
12949,52,7,3449,0
12951,111,5,751,0
12952,16,1,731,0
12955,30,6,1843,0
12956,244,1,108,0
12957,9,6,2640,0
12962,51,1,170,0
12963,22,2,619,0
12965,27,1,771,1
12967,296,2,1660,1
12968,50,1,136,0
12970,260,2,23,0
12971,3,69,8988,0
12974,135,1,144,0
12976,149,1,738,1
12977,94,1,39,0
12980,95,9,7374,1
12981,71,1,187,0
12982,180,1,390,1
12987,11,2,558,1
12988,230,1,535,1
12989,4,11,5957,0
12990,123,2,263,0
12991,50,1,303,0
12993,58,3,372,0
12994,58,2,645,0
12995,23,1,211,0
12997,26,3,916,0
12999,134,3,455,1
13000,44,3,534,1
13001,96,11,8615,0
13002,256,1,121,0
13003,43,3,149,0
13004,1,15,4609,0
13005,111,2,513,1
13008,261,1,229,0
13011,310,1,50,0
13012,16,5,1205,0
13013,2,10,3902,0
13014,12,6,2421,0
13015,135,4,1763,0
13016,11,3,789,1
13018,2,22,6090,0
13021,8,6,1619,0
13023,2,2,689,1
13026,30,3,604,0
13027,51,6,6912,1
13029,76,2,773,0
13030,306,1,427,0
13032,25,1,496,0
13033,295,1,190,0
13034,307,1,165,0
13035,11,2,921,1
13037,76,3,881,1
13038,18,3,908,1
13043,211,1,516,1
13044,229,1,560,1
13045,37,1,305,0
13046,204,1,197,0
13047,65,8,2682,0
13048,51,3,1375,0
13049,2,2,656,1
13050,44,13,4509,0
13052,150,1,348,1
13055,16,3,1214,1
13058,89,1,47,0
13059,187,1,183,0
13060,191,1,307,0
13061,10,1,248,0
13062,129,1,347,1
13064,26,3,842,0
13065,311,1,205,0
13067,20,1,115,0
13068,257,1,165,0
13069,37,20,3874,0
13070,130,1,228,0
13072,204,1,177,0
13075,67,1,919,1
13077,228,3,577,0
13078,2,19,9172,0
13079,13,3,172,0
13080,117,1,58,0
13081,81,8,18870,0
13082,64,9,3613,1
13083,13,1,192,0
13085,95,2,416,1
13089,2,81,46757,0
13090,2,10,5814,0
13092,8,5,477,1
13093,213,8,7832,1
13094,18,11,1774,0
13095,8,1,74,0
13097,15,9,5479,0
13098,25,19,17349,0
13099,37,1,207,0
13101,172,1,101,0
13102,19,20,5292,0
13104,23,4,579,0
13106,71,1,76,0
13107,23,3,1407,0
13108,310,1,350,1
13109,95,1,369,0
13110,75,5,1042,0
13113,51,20,10787,0
13115,122,1,878,0
13116,76,1,501,1
13117,59,7,841,0
13118,146,3,799,0
13120,176,1,30,0
13121,207,1,283,0
13122,32,2,922,1
13124,27,3,3866,1
13126,10,6,1386,0
13127,15,1,259,0
13130,32,1,64,0
13131,9,2,772,0
13132,199,1,77,0
13133,211,2,109,0
13134,23,4,1793,1
13135,134,1,3096,1
13136,25,4,2148,0
13137,30,5,1931,0
13138,18,4,687,0
13139,10,4,3584,0
13140,46,3,423,1
13141,22,5,2388,1
13144,270,1,111,0
13145,29,3,499,0
13147,37,1,118,0
13148,71,10,2789,0
13149,44,3,1132,0
13151,233,1,1257,1
13155,17,3,882,0
13157,79,3,873,0
13158,32,4,1201,1
13159,44,2,851,0
13161,251,1,112,0
13162,60,4,1688,1
13165,289,1,354,0
13166,221,1,417,1
13167,5,3,659,0
13168,137,3,972,0
13169,1,2,712,1
13171,237,1,140,0
13173,305,1,165,0
13174,254,2,2108,0
13177,2,1,282,0
13178,11,9,5156,0
13183,24,7,3085,0
13184,68,9,1504,0
13185,205,1,71,0
13186,31,2,1301,0
13187,275,1,236,0
13189,53,1,127,0
13192,33,2,911,1
13194,73,1,60,0
13196,22,2,1587,0
13198,58,5,3009,0
13199,2,24,5270,0
13200,12,2,627,0
13203,58,2,309,0
13207,88,1,197,0
13208,93,4,835,0
13209,66,5,4156,0
13210,31,1,353,1
13211,33,2,886,0
13213,66,4,963,0
13216,205,1,333,0
13217,60,3,534,1
13218,65,1,62,0
13220,16,4,819,1
13221,178,2,847,1
13223,138,2,163,0
13224,89,1,1212,0
13225,81,5,4299,0
13226,211,1,108,0
13227,139,1,257,0
13228,19,1,358,1
13229,163,1,161,0
13230,76,12,2234,0
13232,36,5,1048,0
13233,12,2,605,1
13235,150,1,1031,1
13236,44,1,439,0
13238,101,2,318,0
13239,199,1,329,0
13240,34,4,663,1
13242,50,3,270,0
13243,141,1,600,1
13244,30,1,121,0
13246,114,5,1861,0
13247,20,1,305,0
13248,62,2,465,1
13249,30,3,711,1
13253,94,2,1030,1
13255,311,1,225,0
13258,143,1,224,0
13261,206,2,944,1
13262,201,1,200,0
13263,4,26,5774,0
13265,26,4,1802,0
13266,13,9,2841,0
13267,30,15,3119,0
13268,22,7,2468,0
13269,4,11,3917,0
13270,304,1,590,1
13272,27,1,141,0
13273,51,1,139,0
13276,1,2,590,1
13277,54,2,125,0
13279,16,1,137,0
13280,60,3,814,1
13282,100,2,773,0
13283,123,1,25,0
